tool,refName,refLen,pufferfishK,lisaK,lisaLeafNodes,queryLen,threads,queryTime(ms),size(MB),NUM_IPBWT_BYTES,ipbwtSize(MB),rmiParamSize(MB),trainingDataSize(MB)
LISA,Chlamydia,1042519,,4,256,32,1,13.717,9.989110946655272,10,9.942235946655272,0.046875,9.0
LISA,Chlamydia,1042519,,4,256,32,2,13.562,9.989110946655272,10,9.942235946655272,0.046875,9.0
LISA,Chlamydia,1042519,,4,256,32,4,33.952000000000005,9.989110946655272,10,9.942235946655272,0.046875,9.0
LISA,Chlamydia,1042519,,4,256,32,8,98.049,9.989110946655272,10,9.942235946655272,0.046875,9.0
LISA,Chlamydia,1042519,,4,256,32,16,222.168,9.989110946655272,10,9.942235946655272,0.046875,9.0
LISA,Chlamydia,1042519,,4,256,64,1,25.668,9.989110946655272,10,9.942235946655272,0.046875,9.0
LISA,Chlamydia,1042519,,4,256,64,2,26.6,9.989110946655272,10,9.942235946655272,0.046875,9.0
LISA,Chlamydia,1042519,,4,256,64,4,83.96900000000001,9.989110946655272,10,9.942235946655272,0.046875,9.0
LISA,Chlamydia,1042519,,4,256,64,8,195.667,9.989110946655272,10,9.942235946655272,0.046875,9.0
LISA,Chlamydia,1042519,,4,256,64,16,463.69,9.989110946655272,10,9.942235946655272,0.046875,9.0
LISA,Chlamydia,1042519,,4,256,96,1,41.953,9.989110946655272,10,9.942235946655272,0.046875,9.0
LISA,Chlamydia,1042519,,4,256,96,2,50.867,9.989110946655272,10,9.942235946655272,0.046875,9.0
LISA,Chlamydia,1042519,,4,256,96,4,137.75699999999998,9.989110946655272,10,9.942235946655272,0.046875,9.0
LISA,Chlamydia,1042519,,4,256,96,8,324.49,9.989110946655272,10,9.942235946655272,0.046875,9.0
LISA,Chlamydia,1042519,,4,256,96,16,764.131,9.989110946655272,10,9.942235946655272,0.046875,9.0
LISA,Chlamydia,1042519,,4,256,128,1,51.785,9.989110946655272,10,9.942235946655272,0.046875,9.0
LISA,Chlamydia,1042519,,4,256,128,2,78.649,9.989110946655272,10,9.942235946655272,0.046875,9.0
LISA,Chlamydia,1042519,,4,256,128,4,174.716,9.989110946655272,10,9.942235946655272,0.046875,9.0
LISA,Chlamydia,1042519,,4,256,128,8,429.074,9.989110946655272,10,9.942235946655272,0.046875,9.0
LISA,Chlamydia,1042519,,4,256,128,16,968.712,9.989110946655272,10,9.942235946655272,0.046875,9.0
