tool,refName,refLen,PufferfishK,queryLen,threads,Time of querying(ms),Total Size(MB),,Size of MPHF(Bytes),Size of PosVec(Bytes),Time of Querying(ns)
pufferfish,Caulobac,4042929,19,32,1,1.439653,13.38494492,,2605068,11430064,1439653
pufferfish,Caulobac,4042929,19,64,1,1.629121,13.38494492,,2605068,11430064,1629121
pufferfish,Caulobac,4042929,19,96,1,1.343702,13.38494492,,2605068,11430064,1343702
pufferfish,Caulobac,4042929,19,128,1,1.351994,13.38494492,,2605068,11430064,1351994
pufferfish,Caulobac,4042929,23,32,1,1.174329,12.95810318,,2614548,10973008,1174329
pufferfish,Caulobac,4042929,23,64,1,1.216583,12.95810318,,2614548,10973008,1216583
pufferfish,Caulobac,4042929,23,96,1,1.186527,12.95810318,,2614548,10973008,1186527
pufferfish,Caulobac,4042929,23,128,1,1.235819,12.95810318,,2614548,10973008,1235819
pufferfish,Caulobac,4042929,27,32,1,1.285101,12.97583389,,2618140,10988008,1285101
pufferfish,Caulobac,4042929,27,64,1,1.314661,12.97583389,,2618140,10988008,1314661
pufferfish,Caulobac,4042929,27,96,1,1.289826,12.97583389,,2618140,10988008,1289826
pufferfish,Caulobac,4042929,27,128,1,1.297064,12.97583389,,2618140,10988008,1297064
pufferfish,Caulobac,4042929,31,32,1,1.336302,12.98843765,,2620684,10998680,1336302
pufferfish,Caulobac,4042929,31,64,1,1.523141,12.98843765,,2620684,10998680,1523141
pufferfish,Caulobac,4042929,31,96,1,1.227762,12.98843765,,2620684,10998680,1227762
pufferfish,Caulobac,4042929,31,128,1,1.186414,12.98843765,,2620684,10998680,1186414
pufferfish,Chlamydia,1042519,19,32,1,0.689622,3.120136261,,680116,2591584,689622
pufferfish,Chlamydia,1042519,19,64,1,0.746921,3.120136261,,680116,2591584,746921
pufferfish,Chlamydia,1042519,19,96,1,0.783507,3.120136261,,680116,2591584,783507
pufferfish,Chlamydia,1042519,19,128,1,0.71273,3.120136261,,680116,2591584,712730
pufferfish,Chlamydia,1042519,23,32,1,0.742752,3.120441437,,680180,2591840,742752
pufferfish,Chlamydia,1042519,23,64,1,0.763302,3.120441437,,680180,2591840,763302
pufferfish,Chlamydia,1042519,23,96,1,0.792638,3.120441437,,680180,2591840,792638
pufferfish,Chlamydia,1042519,23,128,1,0.795761,3.120441437,,680180,2591840,795761
pufferfish,Chlamydia,1042519,27,32,1,0.838643,3.120540619,,680196,2591928,838643
pufferfish,Chlamydia,1042519,27,64,1,0.69653,3.120540619,,680196,2591928,696530
